assetName,scenarioEnabled,enabled,unit,interfaceLimit,installedCapacity,secondaryInstalledCapacity,secondaryUnit,dispatchRequestPeak,actualPeak,periodQuantity,equivalentFullLoadHours,periodUtilizationFraction,peakUtilizationFraction,idleFraction,capexCNY,capexShare,capacityStatus,designDetail
floatingWind,1,1,MW,680,680,NaN,,NaN,638.951741927929,11002.1625764226,16.1796508476802,0.674152118653343,0.939634914599896,0.325847881346657,13600000000,0.630858859271158,MATCHED_OR_SCENARIO_DEPENDENT,""
marineFloatingPV,1,1,MW,80,80,NaN,,NaN,76,546.276773960337,6.82845967450421,0.284519153104342,0.95,0.715480846895658,641287520,0.0297471995097081,MATCHED_OR_SCENARIO_DEPENDENT,""
tidalStream,1,1,MW,40,40,NaN,,NaN,36,389.141241835113,9.72853104587784,0.40535546024491,0.9,0.59464453975509,2173856000,0.100837964439688,MATCHED_OR_SCENARIO_DEPENDENT,""
BESS,1,1,MW,80,80,160,MWh,15.3019390581717,15.3019390581717,13.81,0.172625,0.00719270833333333,0.191274238227147,0.992807291666667,455966296,0.0211507630412246,LOW_PERIOD_UTILIZATION,"power/energy pair"
PEMElectrolyzer,0,0,MW,100,100,NaN,,0,0,0,0,0,0,1,0,0,DISABLED_ZERO_COST,""
hydrogenStorage,0,0,kg,200000,0,NaN,,0,0,0,NaN,NaN,NaN,NaN,0,0,DISABLED_ZERO_COST,"max(process buffer 0.000 kg at 1.00 h, committed inventory 0.000 kg)"
subseaCompute,1,1,MW,120,121.88928008,113.28,MW-IT,120,119.999996023321,2662.5696308077,21.8441656974278,0.910173570726158,0.984499998232505,0.0898264292738422,4632661044.48,0.214893769258131,MATCHED_OR_SCENARIO_DEPENDENT,"16 units x 7.618080 MW facility"
powerExportCable,0,0,MW,200,200,NaN,,0,0,0,0,0,0,1,0,0,DISABLED_ZERO_COST,"320 kV; 200 km"
converterAndSubstation,0,0,MW,200,200,NaN,,0,0,0,0,0,0,1,0,0,DISABLED_ZERO_COST,"320 kV; 200 km"
fiberCable,1,1,MWh-CS/h,120,120,NaN,,110.720470206324,110.720470206324,2456.70494333352,20.472541194446,0.853022549768582,0.9226705850527,0.146977450231418,54141500,0.0025114444800904,MATCHED_OR_SCENARIO_DEPENDENT,"fiber delivery channel"
